income2,lsatisfy
"Less than $35,000",NA
"Less than $75,000",NA
NA,NA
"Less than $35,000",NA
"Less than $35,000",Very satisfied
"Less than $75,000",NA
"$75,000 or more",NA
"Less than $15,000",NA
"$75,000 or more",NA
NA,NA
"$75,000 or more",NA
"$75,000 or more",NA
"Less than $35,000",NA
"$75,000 or more",NA
"Less than $35,000",NA
"Less than $25,000",NA
"Less than $75,000",NA
"Less than $75,000",NA
"Less than $50,000",NA
"$75,000 or more",NA
"Less than $75,000",NA
"Less than $50,000",NA
NA,NA
"Less than $50,000",NA
"$75,000 or more",NA
"$75,000 or more",NA
NA,NA
"Less than $25,000",NA
"Less than $25,000",NA
NA,NA
"Less than $25,000",NA
"Less than $10,000",NA
"Less than $25,000",NA
"Less than $35,000",NA
"Less than $75,000",NA
"$75,000 or more",NA
"Less than $15,000",NA
"Less than $15,000",NA
NA,NA
"$75,000 or more",NA
"Less than $20,000",NA
"$75,000 or more",NA
"Less than $35,000",NA
"Less than $15,000",NA
NA,NA
"$75,000 or more",NA
NA,NA
"$75,000 or more",NA
"Less than $20,000",NA
"Less than $25,000",NA
"$75,000 or more",NA
"Less than $50,000",NA
"Less than $35,000",NA
"$75,000 or more",NA
NA,NA
"Less than $75,000",NA
"Less than $10,000",NA
NA,NA
"Less than $10,000",NA
NA,NA
"Less than $75,000",NA
NA,NA
"Less than $25,000",NA
"Less than $75,000",NA
NA,NA
"Less than $25,000",NA
"Less than $15,000",NA
"$75,000 or more",NA
NA,NA
NA,Satisfied
NA,NA
"$75,000 or more",NA
"Less than $75,000",NA
"$75,000 or more",NA
"$75,000 or more",NA
"Less than $35,000",NA
"$75,000 or more",NA
NA,NA
"Less than $35,000",NA
NA,NA
"$75,000 or more",NA
NA,NA
"$75,000 or more",NA
"Less than $75,000",NA
"$75,000 or more",NA
"Less than $50,000",NA
"Less than $25,000",NA
"Less than $75,000",NA
"$75,000 or more",NA
"$75,000 or more",NA
"$75,000 or more",NA
"Less than $35,000",NA
"$75,000 or more",NA
"$75,000 or more",NA
"Less than $50,000",NA
NA,NA
"$75,000 or more",NA
"$75,000 or more",NA
"Less than $50,000",NA
"Less than $50,000",NA
"Less than $15,000",NA
NA,NA
"$75,000 or more",NA
"Less than $35,000",NA
"Less than $20,000",NA
"$75,000 or more",NA
NA,NA
"Less than $20,000",NA
NA,NA
"$75,000 or more",NA
"$75,000 or more",NA
NA,NA
NA,NA
"$75,000 or more",NA
"Less than $20,000",NA
"Less than $35,000",NA
"Less than $10,000",NA
"Less than $50,000",NA
"Less than $50,000",NA
"Less than $75,000",NA
"$75,000 or more",NA
"Less than $25,000",NA
"$75,000 or more",NA
"Less than $75,000",NA
NA,NA
"$75,000 or more",NA
"$75,000 or more",NA
"Less than $20,000",NA
NA,NA
"Less than $50,000",NA
"$75,000 or more",NA
"$75,000 or more",NA
"$75,000 or more",NA
NA,NA
"Less than $25,000",NA
"Less than $50,000",NA
"Less than $35,000",NA
"Less than $20,000",NA
"Less than $35,000",Satisfied
"Less than $50,000",NA
"Less than $50,000",NA
NA,NA
"$75,000 or more",NA
"$75,000 or more",NA
"Less than $50,000",NA
"Less than $50,000",NA
"$75,000 or more",NA
"$75,000 or more",NA
"$75,000 or more",NA
"Less than $20,000",NA
"$75,000 or more",NA
"Less than $25,000",NA
"Less than $75,000",NA
"Less than $25,000",NA
"Less than $50,000",NA
"Less than $20,000",NA
"Less than $35,000",NA
"Less than $75,000",NA
"Less than $75,000",NA
"Less than $50,000",NA
"Less than $75,000",NA
"$75,000 or more",NA
"$75,000 or more",NA
"Less than $75,000",NA
"Less than $35,000",NA
"$75,000 or more",NA
"Less than $75,000",NA
"Less than $25,000",NA
"Less than $25,000",NA
"Less than $50,000",NA
"Less than $25,000",NA
"Less than $75,000",NA
"Less than $20,000",NA
NA,NA
"Less than $75,000",NA
NA,NA
"Less than $25,000",NA
"Less than $20,000",NA
"$75,000 or more",NA
"Less than $75,000",NA
"Less than $20,000",NA
"Less than $35,000",NA
"$75,000 or more",NA
"$75,000 or more",NA
"Less than $25,000",NA
"$75,000 or more",NA
"$75,000 or more",NA
"Less than $15,000",NA
"Less than $50,000",NA
NA,NA
"Less than $75,000",NA
"Less than $20,000",NA
"$75,000 or more",NA
"Less than $50,000",NA
NA,NA
"Less than $50,000",NA
"Less than $20,000",NA
NA,NA
"Less than $15,000",NA
"Less than $50,000",NA
NA,NA
"Less than $20,000",NA
"$75,000 or more",NA
NA,NA
NA,NA
"Less than $10,000",NA
"Less than $20,000",NA
"$75,000 or more",NA
"Less than $35,000",NA
"Less than $75,000",NA
"Less than $50,000",NA
"Less than $35,000",NA
NA,NA
"Less than $75,000",NA
"Less than $50,000",NA
NA,NA
"Less than $75,000",NA
"$75,000 or more",NA
"Less than $35,000",NA
"Less than $15,000",NA
NA,NA
"Less than $35,000",NA
"$75,000 or more",NA
"$75,000 or more",NA
"Less than $15,000",NA
"Less than $25,000",NA
"Less than $35,000",NA
"$75,000 or more",NA
"Less than $75,000",NA
"Less than $75,000",NA
"Less than $10,000",NA
NA,NA
"Less than $15,000",NA
NA,NA
"$75,000 or more",NA
"Less than $20,000",NA
"$75,000 or more",NA
"Less than $35,000",NA
"$75,000 or more",NA
"Less than $75,000",NA
NA,NA
"Less than $75,000",NA
"Less than $35,000",NA
"Less than $75,000",NA
"Less than $50,000",NA
"Less than $25,000",NA
"Less than $20,000",NA
"Less than $50,000",NA
"$75,000 or more",NA
"Less than $20,000",NA
"Less than $35,000",NA
"Less than $10,000",NA
NA,NA
"Less than $35,000",NA
"$75,000 or more",NA
"Less than $10,000",Very dissatisfied
NA,NA
"Less than $25,000",NA
